time,open,high,low,close,volume
2024-01-11 09:00:00+0200,5.5,5.57,5.48,5.56,945999
2024-01-11 10:00:00+0200,5.56,5.63,5.47,5.62,612429
2024-01-11 11:00:00+0200,5.62,5.71,5.57,5.68,341719
2024-01-11 12:00:00+0200,5.68,5.76,5.61,5.71,576414
2024-01-11 13:00:00+0200,5.71,5.78,5.64,5.76,680470
2024-01-11 14:00:00+0200,5.76,5.86,5.72,5.8,6853
2024-01-11 15:00:00+0200,5.8,5.87,5.76,5.78,840201
2024-01-11 16:00:00+0200,5.78,5.81,5.78,5.79,174042
2024-01-11 17:00:00+0200,5.79,5.84,5.78,5.8,473114
2024-01-11 18:00:00+0200,5.8,5.81,5.8,5.8,697869
2024-01-11 19:00:00+0200,5.8,5.81,5.7,5.7,512442
2024-01-11 20:00:00+0200,5.7,5.78,5.6,5.64,815450
2024-01-11 21:00:00+0200,5.64,5.74,5.63,5.66,827636
2024-01-11 22:00:00+0200,5.66,5.67,5.64,5.66,820586
2024-01-11 23:00:00+0200,5.66,5.72,5.58,5.61,904071
2024-01-12 00:00:00+0200,5.61,5.7,5.6,5.66,594531
2024-01-12 01:00:00+0200,5.66,5.67,5.6,5.62,624314
2024-01-12 02:00:00+0200,5.62,5.7,5.56,5.58,463235
2024-01-12 03:00:00+0200,5.58,5.67,5.5,5.51,174085
2024-01-12 04:00:00+0200,5.51,5.57,5.49,5.51,662444
2024-01-12 05:00:00+0200,5.51,5.51,5.49,5.5,173552
2024-01-12 06:00:00+0200,5.5,5.57,5.43,5.51,66748
2024-01-12 07:00:00+0200,5.51,5.57,5.41,5.53,88921
2024-01-12 08:00:00+0200,5.53,5.54,5.51,5.53,122228
2024-01-12 09:00:00+0200,5.53,5.53,5.48,5.52,88833
2024-01-12 10:00:00+0200,5.52,5.58,5.44,5.48,228468
2024-01-12 11:00:00+0200,5.48,5.53,5.42,5.5,827865
2024-01-12 12:00:00+0200,5.5,5.54,5.47,5.49,730699
2024-01-12 13:00:00+0200,5.49,5.51,5.4,5.47,981830
2024-01-12 14:00:00+0200,5.47,5.56,5.46,5.49,501207
2024-01-12 15:00:00+0200,5.49,5.52,5.4,5.43,732754
2024-01-12 16:00:00+0200,5.43,5.46,5.36,5.39,1596
2024-01-12 17:00:00+0200,5.39,5.45,5.36,5.44,822521
2024-01-12 18:00:00+0200,5.44,5.53,5.38,5.42,578378
2024-01-12 19:00:00+0200,5.42,5.45,5.36,5.39,238407
2024-01-12 20:00:00+0200,5.39,5.45,5.36,5.39,288158
2024-01-12 21:00:00+0200,5.39,5.4,5.38,5.39,747119
2024-01-12 22:00:00+0200,5.39,5.48,5.31,5.44,864378
2024-01-12 23:00:00+0200,5.44,5.46,5.36,5.41,659512
2024-01-13 00:00:00+0200,5.41,5.41,5.31,5.39,611930
2024-01-13 01:00:00+0200,5.39,5.43,5.32,5.4,948004
2024-01-13 02:00:00+0200,5.4,5.46,5.33,5.38,743968
2024-01-13 03:00:00+0200,5.38,5.46,5.37,5.45,332301
2024-01-13 04:00:00+0200,5.45,5.53,5.37,5.38,242374
2024-01-13 05:00:00+0200,5.38,5.41,5.35,5.36,483067
2024-01-13 06:00:00+0200,5.36,5.43,5.34,5.42,536492
2024-01-13 07:00:00+0200,5.42,5.47,5.33,5.34,604148
2024-01-13 08:00:00+0200,5.34,5.41,5.26,5.28,134020
2024-01-13 09:00:00+0200,5.28,5.3,5.23,5.25,534168
2024-01-13 10:00:00+0200,5.25,5.31,5.25,5.26,964222
2024-01-13 11:00:00+0200,5.26,5.35,5.21,5.33,47124
2024-01-13 12:00:00+0200,5.33,5.37,5.26,5.33,738171
2024-01-13 13:00:00+0200,5.33,5.38,5.27,5.27,751094
2024-01-13 14:00:00+0200,5.27,5.34,5.21,5.33,60332
2024-01-13 15:00:00+0200,5.33,5.36,5.3,5.32,72883
2024-01-13 16:00:00+0200,5.32,5.36,5.32,5.34,727112
2024-01-13 17:00:00+0200,5.34,5.34,5.31,5.32,856104
2024-01-13 18:00:00+0200,5.32,5.37,5.28,5.35,419202
2024-01-13 19:00:00+0200,5.35,5.37,5.25,5.3,764309
2024-01-13 20:00:00+0200,5.3,5.32,5.28,5.28,215619
2024-01-13 21:00:00+0200,5.28,5.35,5.23,5.35,525482
2024-01-13 22:00:00+0200,5.35,5.36,5.33,5.35,951217
2024-01-13 23:00:00+0200,5.35,5.42,5.27,5.32,592914
2024-01-14 00:00:00+0200,5.32,5.41,5.28,5.34,912578
2024-01-14 01:00:00+0200,5.34,5.4,5.32,5.34,840689
2024-01-14 02:00:00+0200,5.34,5.36,5.26,5.33,985375
2024-01-14 03:00:00+0200,5.33,5.38,5.28,5.38,865798
2024-01-14 04:00:00+0200,5.38,5.4,5.32,5.39,909054
2024-01-14 05:00:00+0200,5.39,5.42,5.3,5.32,457383
2024-01-14 06:00:00+0200,5.32,5.37,5.29,5.35,390292
2024-01-14 07:00:00+0200,5.35,5.37,5.25,5.25,645732
2024-01-14 08:00:00+0200,5.25,5.34,5.15,5.25,236150
2024-01-14 09:00:00+0200,5.25,5.35,5.16,5.27,123730
